Area,yearid,Processtype,CO,NOX,SO2,NO2,CO2EQ,VOC,PM10,PM25,BENZ,NAPTH,BUTA,FORM,ACTE,ACROL,ETYB,DPM,POM
Fort Worth,2027,Extnd_Exhaust,89.1774428465287,207.386813772428,0.0544115509837866,77.6972968327232,9782.91026306152,29.5476928174612,0.633523366064765,0.582840005401522,0.368568846103244,0.464337779117159,0.0289054624909113,6.07751698788707,1.96373557743391,0.287074130582823,0.177084098142245,0.633523366064765,0.0433800259977306
Fort Worth,2028,APU,36.0000003576279,28.1757392883301,0.0129717999370769,1.6060175858438,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2028,Extnd_Exhaust,89.1688260583906,207.13408728347,0.0543650013860315,78.4340877746108,9790.74040222168,29.165762521443,0.560214933240786,0.515396012924612,0.367116529090708,0.463097335472412,0.0271469050717315,6.08996701434808,1.96041512180454,0.285572539812165,0.177178610481178,0.560214933240786,0.0415562126150457
Fort Worth,2029,APU,36.0000003576279,28.1795434653759,0.0129717999370769,1.60623459145427,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214494732209,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715443574043
Fort Worth,2029,Extnd_Exhaust,89.1629335181933,207.002164760575,0.0543382502510212,79.2851379071992,9795.04015350342,28.9512348707067,0.519434472313151,0.477878504665568,0.366297972856501,0.462396570349483,0.0261605004819785,6.0968782450218,1.95853199092926,0.284727182797724,0.177229664796414,0.519434472313151,0.0405335981407173
Fort Worth,2030,APU,36.0000003576279,28.1833476424217,0.0129717999370769,1.60645159706473,2012.03003311157,7.53263002634048,1.85625996440649,1.70774996653199,0.0590213994728401,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715393351745
Fort Worth,2030,Extnd_Exhaust,89.1570409779961,206.870242237681,0.054311499116011,80.1361880397876,9799.33990478516,28.7367072199704,0.478654075646773,0.440360996406525,0.36547941662775,0.461695805401177,0.0251740958922255,6.10378947668505,1.95664886005397,0.283881825783283,0.177280719169403,0.478654075646773,0.039510988020685
Fort Worth,2031,APU,36.0000003576279,28.1871555447578,0.0129717999370769,1.60666866600513,2012.03003311157,7.53262497484684,1.85625996440649,1.70774996653199,0.0590213994728401,0.0681401495821774,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715234738143
Fort Worth,2031,Extnd_Exhaust,89.1477832789533,206.772956372219,0.0542935486882925,80.6033733680799,9802.48979187012,28.5829220498563,0.450198938022368,0.414182002656162,0.364877673604155,0.46117230057871,0.0244730822951738,6.10834281406096,1.95520190921707,0.283266293730321,0.177306865187973,0.450198938022368,0.0387841209702897
Fort Worth,2032,APU,36.0000003576279,28.190963447094,0.0129717999370769,1.60688573494554,2012.03003311157,7.5326199233532,1.85625996440649,1.70774996653199,0.0590213994728401,0.0681400973116979,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715076124541
Fort Worth,2032,Extnd_Exhaust,89.1385255799105,206.675670506756,0.054275598260574,81.0705586963722,9805.63967895508,28.4291368945269,0.421743800397962,0.388003008905798,0.364275930580561,0.460648795881752,0.023772068698122,6.11289615243368,1.95375495935878,0.282650761709874,0.177333011206542,0.421743800397962,0.0380572539198943
Fort Worth,2033,APU,36.0000003576279,28.1909604072571,0.0129717999370769,1.60688573494554,2012.03503990173,7.53262497484684,1.85625996440649,1.70774996653199,0.0590214494732209,0.0681401495821774,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771528496044
Fort Worth,2033,Extnd_Exhaust,89.1362011513229,206.630067217876,0.0542687494307756,81.336420130977,9806.88960266113,28.3699030322896,0.41000189865008,0.377200999879278,0.364047764714826,0.460452105104537,0.0235003948530448,6.11475041338417,1.95322093937148,0.282415740612976,0.177345533338666,0.41000189865008,0.0377747284139207
Fort Worth,2034,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688573494554,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2034,Extnd_Exhaust,89.133876724627,206.584463928995,0.0542619006009772,81.6022815655818,9808.13952636719,28.310674176435,0.398259996902198,0.366398990852758,0.363819598851819,0.460255414330959,0.0232287210302502,6.1166046744147,1.95268757870235,0.282180719521989,0.177358055503532,0.398259996902198,0.0374922033000904
Fort Worth,2035,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688573494554,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2035,Extnd_Exhaust,89.1327191507698,206.561693692604,0.0542584509239532,81.7388196825655,9808.76460266113,28.2811415763208,0.392742998898029,0.361322999582626,0.363705895750229,0.460157528449315,0.0230933263927255,6.11752885671331,1.9524205995383,0.282063752264776,0.177364507060972,0.392742998898029,0.0373519808826658
Fort Worth,2036,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688573494554,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
Fort Worth,2036,Extnd_Exhaust,89.1315615807544,206.538923456214,0.0542550012469292,81.8753577995492,9809.38967895508,28.2516089783749,0.387226000893861,0.356247008312494,0.363592192651367,0.460059642567671,0.0229579317928312,6.11845303909195,1.95215362057661,0.281946785007563,0.177370958655985,0.387226000893861,0.0372117667660823
Fort Worth,2037,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688573494554,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214494732209,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715438549084
Fort Worth,2037,Extnd_Exhaust,89.128880353499,206.500628329288,0.0542495510890149,81.9614379668332,9810.37508392334,28.2042040877859,0.378591500222683,0.34830350545235,0.363407589089888,0.459898991398234,0.0227416659744932,6.11987063952392,1.95171179309773,0.281757390687687,0.177379477849186,0.378591500222683,0.036987789743819
Fort Worth,2038,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688573494554,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590213994728401,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715383301829
Fort Worth,2038,Extnd_Exhaust,89.1261991262436,206.462333202362,0.0542441009311005,82.0475181341171,9811.3604888916,28.156799197197,0.369956999551505,0.340360002592206,0.363222985528409,0.459738355129957,0.0225254001561552,6.12128992378712,1.95126996561885,0.281567996367812,0.177387997042388,0.369956999551505,0.0367638162901856
Fort Worth,2039,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688556544483,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214494732209,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.0257715438549084
Fort Worth,2039,Extnd_Exhaust,89.1271485090256,206.464586019516,0.0542441009311005,82.1106505990028,9811.37016296387,28.1570996940136,0.369948498904705,0.340351999853738,0.363226503599435,0.459743193816394,0.0225256495177746,6.12135481834412,1.95129000395536,0.281571004306898,0.177390002645552,0.369948498904705,0.0367641968248354
Fort Worth,2040,APU,36.0000003576279,28.1909573674202,0.0129717999370769,1.60688539594412,2012.04004669189,7.53263002634048,1.85625996440649,1.70774996653199,0.0590214994736016,0.0681402018526569,0.0219784007640556,0.589241979643703,0.267850995529443,0.0498785006348044,0.0199976990988944,1.85625996440649,0.025771549379634
